foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,clicked,dodged
4,1,3,3,0,2,4,0.48552145436660743,0.48552145436660743,0.5490465754060281,0,0
4,1,3,3,1,2,4,0.6488666338380931,0.2795762311722926,0.20051990273943304,1,0
4,1,3,3,1,2,4,0.7011817177889108,0.46294905470582554,0.20051990273943304,0,0
6,16,8,4,0,2,4,0.2637996368068176,0.2637996368068176,0.5407768906996292,1,1
6,16,8,4,0,2,8,0.2773135641328481,0.2773135641328481,0.5407768906996292,0,0
6,16,8,4,1,1,4,0.42323198657447847,0.36160185014892077,0,1,1
12,4,0,0,0,2,2,0.4871387514435592,0.4871387514435592,1.098815326132273,1,0
12,4,0,0,0,2,1,0.6200128495823823,0.6200128495823823,1.098815326132273,0,0
12,4,0,0,1,3,2,0.6394586125591165,0.3396203699932947,0.7538306644247557,1,0
12,4,0,0,1,3,1,0.6001059952850548,0.43009843609014436,0.7883319451089397,0,0
12,4,0,0,1,3,2,1.1567172514841237,0.6717078089346609,0.7724895965817767,0,0
12,4,0,0,2,2,2,0.6310874695154671,0.4110047153497657,0.9712775106392122,1,0
12,4,0,0,2,2,4,0.6075403809784268,0.5673047508581365,0.9712775106392122,0,0
12,4,0,0,3,3,4,0.17982545546111126,0.5718848929093236,0.46043013692508283,1,0
12,4,0,0,3,3,4,0.11958323471727438,0.5225419851928768,0.43031784008114277,0,0
12,4,0,0,3,3,4,0.7117634060325937,0.7006704411119232,0.8273549938031401,0,0
2,3,1,2,0,2,1,0.5154901756780866,0.5154901756780866,0.10590657283495031,1,0
2,3,1,2,0,2,1,0.409589552521074,0.409589552521074,0.10590657283495031,0,0
2,3,1,2,1,2,1,0.6879986654770918,0.524120846426776,0.14492972325599426,1,1
2,3,1,2,1,2,1,0.7920634748236005,0.5285125744862137,0.14492972325599426,0,0
2,6,5,0,0,3,0,0.29392451781419043,0.29392451781419043,0.7190229521445475,1,0
2,6,5,0,0,3,0,0.4770471943215381,0.4770471943215381,0.6337563830618942,0,0
2,6,5,0,0,3,0,0.5031670657427424,0.5031670657427424,0.7090107274219136,0,0
2,6,5,0,1,1,0,0.6515556494487005,0.3661286455908168,0,1,0
10,5,5,6,0,5,8,0.39827812698383513,0.39827812698383513,0.23338718282097498,1,1
10,5,5,6,0,5,6,0.29873958565018965,0.29873958565018965,0.2071181483479994,1,0
10,5,5,6,1,5,6,0.023491648525218543,0.37177250788249244,0.47322308746716746,1,0
10,5,5,6,1,5,9,0.5146023279871678,0.4201915537301815,0.6046145242552456,0,0
10,5,5,6,1,5,6,0.824013349873318,0.4297453227688179,0.7101047733829787,0,0
10,5,5,6,1,5,6,0.12713726302836664,0.2678222472921442,0.42302633800533934,0,0
10,5,5,6,1,5,9,0.4996075123386447,0.42985928960181163,0.6136861533770028,0,0
10,5,5,6,0,5,9,0.428027365404934,0.428027365404934,0.20093564457595792,0,0
10,5,5,6,0,5,6,0.40382629936259373,0.40382629936259373,0.1892220804669003,0,0
10,5,5,6,0,5,9,0.394946420941109,0.394946420941109,0.5192562350950949,0,0
10,5,5,6,0,5,9,0.428027365404934,0.428027365404934,0.20093564457595792,0,0
10,5,5,6,0,5,6,0.40382629936259373,0.40382629936259373,0.1892220804669003,0,0
9,5,5,1,0,2,6,0.39660439375477446,0.39660439375477446,0.12620226057388156,1,1
9,5,5,1,0,2,6,0.2949863850717918,0.2949863850717918,0.12620226057388156,0,0
9,5,5,1,1,2,6,0.6759494986898889,0.2797817125494796,0.45245086935257933,1,1
9,5,5,1,1,2,4,0.45619297774918516,0.29695803673540877,0.45245086935257933,0,0
9,5,5,1,2,7,4,0.3481243723059918,0.2634203329049569,0.3323674534742298,1,0
9,5,5,1,2,7,1,0.0756503956953611,0.3512135860635758,0.31804445292921335,0,0
9,5,5,1,2,7,6,0.10559723409149162,0.3751368623722342,0.3370254928072445,0,0
9,5,5,1,2,7,4,0.12950244250119286,0.39294742850801384,0.33169161958755666,0,0
